LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B12B0135	239950	567025	Rijksdriehoeksmeting	12B		1.8		12BA3135	22	41			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	24DNP (ug/l)	Abamectine (ug/l)	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	B (mg/m3)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Bentazon (ug/l)	Broompropylaat (ug/l)	Buffercapaciteit pH 4.3 (mmol/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C12DCEe (ug/l)	CH4Cl2 (ug/l)	CL3MA (ug/l)	CO3-- (mg/l)	Ca (mg/l)	Ca (ug/l)	Ca++ (g/m3)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC_C (g/m3)	Diazinon (ug/l)	EC(5)_veld (mS/m)	EC-lab20C (uS/cm)	EC25C (mS/m)	ECVELD20C (uS/cm)	EOX (umol/m3)	Etridiazool (ug/l)	Fe (g/m3)	Fe (ug/l)	H+ (-)	H+(5)_veld (-)	HCO3- (g/m3)	HCO3-_veld (g/m3)	HCO3-lab (mg/l)	HCO3_lab (mg/l)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	K (mg/l)	K (ug/l)	K+ (g/m3)	KMnO4_O (g/m3)	MCPA (ug/l)	MCPP (ug/l)	Mg (mg/l)	Mg (ug/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (ug/l)	NH4 (mgN/l)	NH4+_N (g/m3)	NO2 (mgN/l)	NO3 (mgN/l)	NO3-_N (g/m3)	Na (mg/l)	Na (ug/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	P-tot_P (g/m3)	P-totaal (mgP/l)	PO4---_P (g/m3)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimifos-methyl (ug/l)	Propiconazool (ug/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2_Si (g/m3)	Sr (mg/m3)	T(5)_veld (C)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TOC_C (g/m3)	Temp-lab (C)	Temp-veld (C)	Terbutylazine (ug/l)	Tg (TU)	V (mg/m3)	VOX (umol/m3)	Vinczln (ug/l)	Zn (mg/m3)	Zn (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloridazon (ug/l)	cycloxydim (ug/l)	diethyltoluamide (DEET) (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	opgelost fosfaat als P (mgP/l)	oxamyl (ug/l)	pH-lab (-)	pH-veld (-)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	simazine (ug/l)	som C+T dichlooretheen (ug/l)	som chlooralifaten (ug/l)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	
B12B0135	24-02-2010	L2010-02-0023	Grundfos pomp	nee	330.0	530.0	24-02-2010										384		<.15							.1							<6		29943			1.6		93.8			.17		1.31							698.3		623				1183					8				<.03			19509						17832			4145	1.82			3.63			48197			61.7		<.05			.47				148										19.8	10.5							42																																			5.22	4.95													
B12B0135	24-02-2010	L2010-02-0020	Grundfos pomp	nee	1780.0	1980.0	24-02-2010										<10		.37							.9							<6		9369			<.1		20.1			.17		.24							179.6		155				469					52				<.03			1448						4049			101	.03			<.05			18938			2		<.05			<.12				11										19.7	10.3							7																																			6.44	5.99													
B12B0135	29-10-2007	L2007-10-0015		nee	330.0	530.0	29-10-2007									474.347		0.4513					13.807													39.645	1.3919		110.69			0.5164		1.3798					4.9		75.2		75.6				1.153		4.93	4.5	8.36	0.26									13.057						25.294	4.0583			1.77			2.16			48.944	48.2936		<0.03			0.4098						171.12		245	11.9													40.0057																																																		
B12B0135	03-07-2006	L2006-07-0003		nee	330.0	530.0	03-07-2006									504.3549		0.2396					15.0265													38.323	1.1703		105.78			<0.2		1.5366					2.359		75.1		75.9				1.867		4.9	4.7	0.87	7.3									18.36						24.184	2.88185			1.87421			4.22483			45.585	47.5451		0.05211			0.4589						161.48		214.9847	10.1													51.3287																																																		
B12B0135	03-07-2006	L2006-07-0004		nee	1780.0	1980.0	03-07-2006									5.3193		0.3329					67.2595													10.76	0.0178		22.56			<0.2		0.1576					1.38		18.1		19.5				0.453		6.2	5.8	64.2	47.1									1.429						4.729	0.10297			<0.241			<0.014			17.461	2.1022		0.06843			0.0527						16.81		63.889	10.3													2.5871																																																		
B12B0135	14-02-2006	L2006-02-0095		nee	330.0	530.0		<.1	<.1	<.5	<.5	<.5	<.05	<.05	<.01		700		<2	<.01		<.07		<.01	<.01		<.02	<.05	<.05	<.5	<1	<.1		42				1.1		110			1.2		1	<.05	<.03	<.02		<.01						<.05								17	<.01	<.02	.05	<.01	20				<.05	<.05	25				2900	1.8		.01	3.8		49				55					2	<.01	<.01	<.03	180					<.5	<.1	<.1	<.1				<.01				<.02		69	<.05	<.05	<.05	<.2	<.05	<.02	<.05	<.02	<.02	<.05	<.01	<.01	<.01	<.05	<.01	<.05	<.05	<.01	<.01	<.2	<.05	<.01	<.01	<.02	<.02	<.01	<.01	<.05	<.05	<.05	<.01	<.01	<.05	<.05			<.01	<.2	<.01	<.05	<.01	<.01	<.01	<.01	<.5	<2.1	<.02	<.01	
B12B0135	14-02-2006	L2006-02-0096		nee	1780.0	1980.0		<.1	<.1	<.5	<.5	<.5	<.05	<.05	<.01		<50		<2	<.01		<.07		<.01	<.01		<.02	<.05	<.05	<.5	<1	<.1		13				<.1		22			<.8		<1	<.05	<.03	<.02		<.01						<.05								71	<.01	<.02	.03	<.01	1.6				<.05	<.05	5.5				130	.15		<.01	.09		18				7					<1	<.01	<.01	<.03	19					<.5	<.1	<.1	<.1				<.01				<.02		<5	<.05	<.05	<.05	<.2	<.05	<.02	<.05	<.02	<.02	<.05	<.01	<.01	<.01	<.05	<.01	<.05	<.05	<.01	<.01	<.2	<.05	<.01	<.01	<.02	<.02	<.01	<.01	<.05	<.05	<.05	<.01	<.01	<.05	<.05			<.01	<.2	<.01	<.05	<.01	<.01	<.01	<.01	<.5	<2.1	<.02	<.01	
B12B0135	15-09-2005	L2005-09-0099		nee	330.0	530.0	15-09-2005									610		0.22					13.1													42.7	1.12		115		32.9	0.34		1.5					4.8		80.4		79.2				3.6		4.6	4.5		6.21333									14.2						25	2.632			1.63			2.41			48.7	41.6		<0.002			0.51						183		243	10.3										0.4			59.9																																																		
B12B0135	13-09-2004	L2004-09-0215		nee	330.0	530.0	13-09-2004									925		0.28					11.9													45.5	1		122		37.3	0.35		2.2					5.5		83.3						8.3			4.55		0.61									14.6						25.7	1.961			1.48			1.42			50.1	47.9		0.0033			0.73						195		239	10.9													58.5																																																		
B12B0135	26-06-2003	L2003-06-0019		nee	330.0	530.0	26-06-2003									1310		0.63					16													47.78	1.36		125.87			<0.4		2.8							91.1						0.012			4.37		0									18.4						23.69	2.206			1.67			4.85			54.26	63.5		<0.06									186.52		233.9	9													70																																																		
