Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,15-03-2012,tot:,13-06-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B17E2225,004,,244995,547542,1823,23-01-2012,23-01-2012,13-06-2019,1871,48,-1929,-2129


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B17E2225,004,15-03-2012,264,216,1607,,,,,,
B17E2225,004,16-03-2012,264,216,1607,,,,,,
B17E2225,004,17-03-2012,265,217,1606,,,,,,
B17E2225,004,18-03-2012,265,217,1606,,,,,,
B17E2225,004,19-03-2012,267,219,1604,,,,,,
B17E2225,004,20-03-2012,268,220,1603,,,,,,
B17E2225,004,21-03-2012,269,221,1602,,,,,,
B17E2225,004,22-03-2012,269,221,1602,,,,,,
B17E2225,004,23-03-2012,269,221,1602,,,,,,
B17E2225,004,24-03-2012,270,222,1601,,,,,,
B17E2225,004,25-03-2012,271,223,1600,,,,,,
B17E2225,004,26-03-2012,272,224,1599,,,,,,
B17E2225,004,27-03-2012,272,224,1599,,,,,,
B17E2225,004,28-03-2012,273,225,1598,,,,,,
B17E2225,004,29-03-2012,273,225,1598,,,,,,
B17E2225,004,30-03-2012,273,225,1598,,,,,,
B17E2225,004,31-03-2012,273,225,1598,,,,,,
B17E2225,004,01-04-2012,275,227,1596,,,,,,
B17E2225,004,02-04-2012,275,227,1596,,,,,,
B17E2225,004,03-04-2012,275,227,1596,,,,,,
B17E2225,004,04-04-2012,276,228,1595,,,,,,
B17E2225,004,05-04-2012,278,230,1593,,,,,,
B17E2225,004,06-04-2012,278,230,1593,,,,,,
B17E2225,004,07-04-2012,278,230,1593,,,,,,
B17E2225,004,08-04-2012,279,231,1592,,,,,,
B17E2225,004,09-04-2012,278,230,1593,,,,,,
B17E2225,004,10-04-2012,277,229,1594,,,,,,
B17E2225,004,11-04-2012,278,230,1593,,,,,,
B17E2225,004,12-04-2012,278,230,1593,,,,,,
B17E2225,004,13-04-2012,278,230,1593,,,,,,
B17E2225,004,14-04-2012,279,231,1592,,,,,,
B17E2225,004,15-04-2012,280,232,1591,,,,,,
B17E2225,004,16-04-2012,281,233,1590,,,,,,
B17E2225,004,17-04-2012,280,232,1591,,,,,,
B17E2225,004,18-04-2012,279,231,1592,,,,,,
B17E2225,004,19-04-2012,279,231,1592,,,,,,
B17E2225,004,20-04-2012,281,233,1590,,,,,,
B17E2225,004,21-04-2012,282,234,1589,,,,,,
B17E2225,004,22-04-2012,282,234,1589,,,,,,
B17E2225,004,23-04-2012,282,234,1589,,,,,,
B17E2225,004,24-04-2012,282,234,1589,,,,,,
B17E2225,004,25-04-2012,283,235,1588,,,,,,
B17E2225,004,26-04-2012,283,235,1588,,,,,,
B17E2225,004,27-04-2012,284,236,1587,,,,,,
B17E2225,004,28-04-2012,284,236,1587,,,,,,
B17E2225,004,29-04-2012,281,233,1590,,,,,,
B17E2225,004,30-04-2012,283,235,1588,,,,,,
B17E2225,004,01-05-2012,283,235,1588,,,,,,
B17E2225,004,02-05-2012,283,235,1588,,,,,,
B17E2225,004,03-05-2012,283,235,1588,,,,,,
B17E2225,004,04-05-2012,283,235,1588,,,,,,
B17E2225,004,05-05-2012,284,236,1587,,,,,,
B17E2225,004,06-05-2012,285,237,1586,,,,,,
B17E2225,004,07-05-2012,286,238,1585,,,,,,
B17E2225,004,08-05-2012,286,238,1585,,,,,,
B17E2225,004,09-05-2012,286,238,1585,,,,,,
B17E2225,004,10-05-2012,286,238,1585,,,,,,
B17E2225,004,11-05-2012,286,238,1585,,,,,,
B17E2225,004,12-05-2012,288,240,1583,,,,,,
B17E2225,004,13-05-2012,288,240,1583,,,,,,
B17E2225,004,14-05-2012,287,239,1584,,,,,,
B17E2225,004,15-05-2012,287,239,1584,,,,,,
B17E2225,004,16-05-2012,288,240,1583,,,,,,
B17E2225,004,17-05-2012,288,240,1583,,,,,,
B17E2225,004,18-05-2012,288,240,1583,,,,,,
B17E2225,004,19-05-2012,289,241,1582,,,,,,
B17E2225,004,20-05-2012,289,241,1582,,,,,,
B17E2225,004,21-05-2012,289,241,1582,,,,,,
B17E2225,004,22-05-2012,290,242,1581,,,,,,
B17E2225,004,23-05-2012,292,244,1579,,,,,,
B17E2225,004,24-05-2012,292,244,1579,,,,,,
B17E2225,004,25-05-2012,293,245,1578,,,,,,
B17E2225,004,26-05-2012,294,246,1577,,,,,,
B17E2225,004,27-05-2012,294,246,1577,,,,,,
B17E2225,004,28-05-2012,294,246,1577,,,,,,
B17E2225,004,29-05-2012,295,247,1576,,,,,,
B17E2225,004,30-05-2012,296,248,1575,,,,,,
B17E2225,004,31-05-2012,296,248,1575,,,,,,
B17E2225,004,01-06-2012,294,246,1577,,,,,,
B17E2225,004,02-06-2012,294,246,1577,,,,,,
B17E2225,004,03-06-2012,294,246,1577,,,,,,
B17E2225,004,04-06-2012,294,246,1577,,,,,,
B17E2225,004,05-06-2012,295,247,1576,,,,,,
B17E2225,004,06-06-2012,294,246,1577,,,,,,
B17E2225,004,07-06-2012,294,246,1577,,,,,,
B17E2225,004,08-06-2012,295,247,1576,,,,,,
B17E2225,004,09-06-2012,295,247,1576,,,,,,
B17E2225,004,10-06-2012,296,248,1575,,,,,,
B17E2225,004,11-06-2012,296,248,1575,,,,,,
B17E2225,004,12-06-2012,297,249,1574,,,,,,
B17E2225,004,13-06-2012,298,250,1573,,,,,,
B17E2225,004,14-06-2012,299,251,1572,,,,,,
B17E2225,004,15-06-2012,299,251,1572,,,,,,
B17E2225,004,16-06-2012,299,251,1572,,,,,,
B17E2225,004,17-06-2012,300,252,1571,,,,,,
B17E2225,004,18-06-2012,300,252,1571,,,,,,
B17E2225,004,19-06-2012,301,253,1570,,,,,,
B17E2225,004,20-06-2012,301,253,1570,,,,,,
B17E2225,004,21-06-2012,301,253,1570,,,,,,
B17E2225,004,22-06-2012,301,253,1570,,,,,,
B17E2225,004,23-06-2012,301,253,1570,,,,,,
B17E2225,004,24-06-2012,301,253,1570,,,,,,
B17E2225,004,25-06-2012,300,252,1571,,,,,,
B17E2225,004,26-06-2012,300,252,1571,,,,,,
B17E2225,004,27-06-2012,299,251,1572,,,,,,
