Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/03/2020
Datum: 18/03/2020
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B17E2244,001,,240586,543605,1562,,1608,864,764,2014/12/17,2019/08/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B17E2244,001,2015/04/14 00:00:00,-8,
B17E2244,001,2015/04/28 00:00:00,-1,
B17E2244,001,2015/05/13 00:00:00,1,
B17E2244,001,2015/05/28 00:00:00,6,
B17E2244,001,2015/06/14 00:00:00,20,
B17E2244,001,2015/06/30 00:00:00,46,
B17E2244,001,2015/08/14 00:00:00,9,
B17E2244,001,2015/08/28 00:00:00,-4,
B17E2244,001,2015/09/16 00:00:00,-5,
B17E2244,001,2015/09/29 00:00:00,2,
B17E2244,001,2015/10/14 00:00:00,7,
B17E2244,001,2015/10/28 00:00:00,3,
B17E2244,001,2015/11/16 00:00:00,-15,
B17E2244,001,2015/12/01 00:00:00,-18,
B17E2244,001,2015/12/14 00:00:00,-16,
B17E2244,001,2015/12/28 00:00:00,,N
B17E2244,001,2016/01/14 00:00:00,-15,
B17E2244,001,2016/01/28 00:00:00,,N
B17E2244,001,2016/02/14 00:00:00,,N
B17E2244,001,2016/02/28 00:00:00,-15,
B17E2244,001,2016/03/14 00:00:00,-16,
B17E2244,001,2016/03/28 00:00:00,,N
B17E2244,001,2016/04/14 00:00:00,-4,
B17E2244,001,2016/04/28 00:00:00,,N
B17E2244,001,2016/05/14 00:00:00,8,
B17E2244,001,2016/05/28 00:00:00,14,
B17E2244,001,2016/06/14 00:00:00,,N
B17E2244,001,2016/06/28 00:00:00,19,
B17E2244,001,2016/07/14 00:00:00,19,
B17E2244,001,2016/07/28 00:00:00,28,
B17E2244,001,2016/08/14 00:00:00,,N
B17E2244,001,2016/08/28 00:00:00,,N
B17E2244,001,2016/09/14 00:00:00,54,
B17E2244,001,2016/09/28 00:00:00,53,
B17E2244,001,2016/10/14 00:00:00,64,
B17E2244,001,2016/10/28 00:00:00,41,
B17E2244,001,2016/11/14 00:00:00,39,
B17E2244,001,2016/12/01 00:00:00,37,
B17E2244,001,2016/12/14 00:00:00,,N
B17E2244,001,2016/12/28 00:00:00,,N
B17E2244,001,2017/01/14 00:00:00,,N
B17E2244,001,2017/01/28 00:00:00,,N
B17E2244,001,2017/02/14 00:00:00,6,
B17E2244,001,2017/03/01 00:00:00,-6,
B17E2244,001,2017/03/15 00:00:00,-1,
B17E2244,001,2017/03/29 00:00:00,-1,
B17E2244,001,2017/04/14 00:00:00,7,
B17E2244,001,2017/05/01 00:00:00,24,
B17E2244,001,2017/05/14 00:00:00,29,
B17E2244,001,2017/05/29 00:00:00,56,
B17E2244,001,2017/06/14 00:00:00,58,
B17E2244,001,2017/06/28 00:00:00,,N
B17E2244,001,2017/07/14 00:00:00,,N
B17E2244,001,2017/07/28 00:00:00,,N
B17E2244,001,2017/08/14 00:00:00,61,
B17E2244,001,2017/08/28 00:00:00,72,
B17E2244,001,2017/09/13 00:00:00,19,
B17E2244,001,2017/09/28 00:00:00,26,
B17E2244,001,2017/10/16 00:00:00,7,
B17E2244,001,2017/10/27 00:00:00,4,
B17E2244,001,2017/11/14 00:00:00,-1,
B17E2244,001,2017/11/28 00:00:00,-9,
B17E2244,001,2017/12/14 00:00:00,,N
B17E2244,001,2017/12/28 00:00:00,,N
B17E2244,001,2018/01/12 00:00:00,-10,
B17E2244,001,2018/01/30 00:00:00,-14,
B17E2244,001,2018/02/14 00:00:00,-7,
B17E2244,001,2018/02/27 00:00:00,,Y
B17E2244,001,2018/03/15 00:00:00,-5,
B17E2244,001,2018/03/28 00:00:00,-3,
B17E2244,001,2018/04/13 00:00:00,-3,
B17E2244,001,2018/04/26 00:00:00,3,
B17E2244,001,2018/05/14 00:00:00,-3,
B17E2244,001,2018/05/28 00:00:00,27,
B17E2244,001,2018/06/14 00:00:00,42,
B17E2244,001,2018/06/28 00:00:00,,N
B17E2244,001,2018/07/13 00:00:00,75,
B17E2244,001,2018/07/28 00:00:00,,N
B17E2244,001,2018/08/14 00:00:00,66,
B17E2244,001,2018/08/28 00:00:00,66,
B17E2244,001,2018/09/13 00:00:00,87,
B17E2244,001,2018/09/27 00:00:00,85,
B17E2244,001,2018/11/14 00:00:00,82,
B17E2244,001,2018/11/29 00:00:00,69,
B17E2244,001,2018/12/13 00:00:00,21,
B17E2244,001,2018/12/28 00:00:00,,N
B17E2244,001,2019/01/14 00:00:00,0,
B17E2244,001,2019/01/28 00:00:00,-4,
B17E2244,001,2019/02/14 00:00:00,-1,
B17E2244,001,2019/02/27 00:00:00,5,
B17E2244,001,2019/03/14 00:00:00,-11,
B17E2244,001,2019/03/28 00:00:00,1559,
B17E2244,001,2019/05/14 00:00:00,18,
B17E2244,001,2019/05/28 00:00:00,34,
B17E2244,001,2019/06/14 00:00:00,49,
B17E2244,001,2019/06/28 00:00:00,74,
B17E2244,001,2019/07/14 00:00:00,,N
B17E2244,001,2019/07/28 00:00:00,,N
B17E2244,001,2019/08/14 00:00:00,109,
B17E2244,001,2019/08/28 00:00:00,109,
